Parameter Sweeps

Number of parameters swept: 32

Table of parameters swept 
public	int	hospital_capacity	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
public	int	recovery_h	1	1	1	1	2	2	2	2	3	3	3	3	5	5	5	5	1	1	1	1	2	2	2	2	3	3	3	3	5	5	5	5	
public	int	recovery_natural	5	8	11	14	5	8	11	14	5	8	11	14	5	8	11	14	5	8	11	14	5	8	11	14	5	8	11	14	5	8	11	14	

Parameter values for the class class epi.Environment
gridHeight  100
gridWidth  100
n  250
n_infected  1
oneAgentPerCell  false
p_spread  0.7
natural_disaster  false
hospital_capacity  10
waitTime  0.2
recovery_h  1
recovery_natural  5
searchRadius  4
infectedAgents  0
charts  true
nameSpace  SPARSE
gridWidth  100
gridHeight  100
paramSweeps  true
simLength  250
simNumber  10
fileDataName  results3.txt
folderDataName  data
dataSamplingInterval  1
burnIn  0
scheduleTimeInterval  1.0
closeProgramAtend  true
customSweepOnly  false
hospital_capacity	Value	recovery_h	Value	recovery_natural	Value	Step	Reps	N	susceptible	infected	recovered	numHospitalized	Step	Reps	N	susceptible	infected	recovered	numHospitalized	
hospital_capacity	10	recovery_h	3	recovery_natural	11	249.000	2500.000	250.000	0.605	0.351	0.044	0.040	249.000	2500.000	0.000	0.000	0.000	0.000	NaN
hospital_capacity	10	recovery_h	3	recovery_natural	14	249.000	2500.000	250.000	0.592	0.371	0.037	0.040	249.000	2500.000	0.000	0.000	0.000	0.000	NaN
hospital_capacity	10	recovery_h	5	recovery_natural	5	249.000	2500.000	250.000	0.571	0.393	0.036	0.040	249.000	2500.000	0.000	0.000	0.000	NaN	NaN
hospital_capacity	10	recovery_h	5	recovery_natural	8	249.000	2500.000	250.000	0.555	0.409	0.036	0.040	249.000	2500.000	0.000	0.000	0.000	NaN	NaN
hospital_capacity	10	recovery_h	5	recovery_natural	11	249.000	2500.000	250.000	0.536	0.428	0.036	0.040	249.000	2500.000	0.000	0.000	0.000	NaN	NaN
hospital_capacity	10	recovery_h	5	recovery_natural	14	249.000	2500.000	250.000	0.513	0.455	0.032	0.040	249.000	2500.000	0.000	0.000	0.000	0.000	NaN
hospital_capacity	20	recovery_h	1	recovery_natural	5	249.000	2500.000	250.000	0.490	0.481	0.029	0.080	249.000	2500.000	0.000	0.000	0.000	0.000	0.000
hospital_capacity	20	recovery_h	1	recovery_natural	8	249.000	2500.000	250.000	0.472	0.500	0.028	0.080	249.000	2500.000	0.000	0.000	0.000	NaN	NaN
hospital_capacity	20	recovery_h	1	recovery_natural	11	249.000	2500.000	250.000	0.450	0.522	0.028	0.080	249.000	2500.000	0.000	0.000	0.000	NaN	NaN
hospital_capacity	20	recovery_h	1	recovery_natural	14	249.000	2500.000	250.000	0.435	0.539	0.026	0.080	249.000	2500.000	0.000	0.000	0.000	0.000	NaN
hospital_capacity	20	recovery_h	2	recovery_natural	5	249.000	2500.000	250.000	0.417	0.562	0.022	0.080	249.000	2500.000	0.000	0.000	0.000	0.000	NaN
hospital_capacity	20	recovery_h	2	recovery_natural	8	249.000	2500.000	250.000	0.403	0.577	0.020	0.080	249.000	2500.000	0.000	0.000	0.000	NaN	NaN
hospital_capacity	20	recovery_h	2	recovery_natural	11	249.000	2500.000	250.000	0.390	0.591	0.019	0.080	249.000	2500.000	0.000	0.000	0.000	0.000	NaN
hospital_capacity	20	recovery_h	2	recovery_natural	14	249.000	2500.000	250.000	0.376	0.608	0.016	0.080	249.000	2500.000	0.000	0.000	0.000	0.000	NaN
hospital_capacity	20	recovery_h	3	recovery_natural	5	249.000	2500.000	250.000	0.362	0.622	0.016	0.080	249.000	2500.000	0.000	0.000	0.000	0.000	NaN
hospital_capacity	20	recovery_h	3	recovery_natural	8	249.000	2500.000	250.000	0.350	0.634	0.016	0.080	249.000	2500.000	0.000	0.000	0.000	0.000	NaN
hospital_capacity	20	recovery_h	3	recovery_natural	11	249.000	2500.000	250.000	0.334	0.650	0.016	0.080	249.000	2500.000	0.000	0.000	0.000	0.000	NaN
hospital_capacity	20	recovery_h	3	recovery_natural	14	249.000	2500.000	250.000	0.322	0.666	0.012	0.080	249.000	2500.000	0.000	0.000	0.000	0.000	NaN
hospital_capacity	20	recovery_h	5	recovery_natural	5	249.000	2500.000	250.000	0.316	0.672	0.012	0.080	249.000	2500.000	0.000	NaN	NaN	NaN	NaN
hospital_capacity	20	recovery_h	5	recovery_natural	8	249.000	2500.000	250.000	0.312	0.676	0.012	0.080	249.000	2500.000	0.000	0.000	0.000	NaN	NaN
hospital_capacity	20	recovery_h	5	recovery_natural	11	249.000	2500.000	250.000	0.298	0.690	0.012	0.080	249.000	2500.000	0.000	0.000	0.000	NaN	NaN
hospital_capacity	20	recovery_h	5	recovery_natural	14	249.000	2500.000	250.000	0.284	0.704	0.012	0.080	249.000	2500.000	0.000	0.000	0.000	NaN	NaN
